epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp,model
67,0.1076699701639322,0.0968286215767755,0.0003,0.3608811795711517,14.9,True,0,2026-07-30T14:25:27,TDAG-Net (persona-split)
68,0.1081290576811675,0.097945005602234,0.0003,0.3810323774814605,14.9,False,1,2026-07-30T14:25:42,TDAG-Net (persona-split)
69,0.1075871215744333,0.097633309662342,0.0003,0.3388343453407287,14.9,False,2,2026-07-30T14:25:57,TDAG-Net (persona-split)
70,0.1077323061751795,0.0975373436052065,0.0003,0.4101944863796234,14.9,False,3,2026-07-30T14:26:12,TDAG-Net (persona-split)
71,0.1071051492304592,0.096059170029648,0.0003,0.308617889881134,14.9,True,0,2026-07-30T14:26:27,TDAG-Net (persona-split)
72,0.1074378932897861,0.0962204918838464,0.0003,0.48206627368927,14.9,False,1,2026-07-30T14:26:42,TDAG-Net (persona-split)
73,0.1070620405149983,0.0958376966089337,0.0003,0.4225373566150665,15.0,True,0,2026-07-30T14:26:57,TDAG-Net (persona-split)
74,0.1068995856976771,0.0959571131228745,0.0003,0.3549028933048248,14.9,False,1,2026-07-30T14:27:12,TDAG-Net (persona-split)
75,0.1069976448030262,0.0969689453614282,0.0003,0.4596014320850372,14.9,False,2,2026-07-30T14:27:27,TDAG-Net (persona-split)
76,0.1067530887958767,0.096401050973397,0.0003,0.358513206243515,14.9,False,3,2026-07-30T14:27:42,TDAG-Net (persona-split)
77,0.1069768240327363,0.0961221732035443,0.0003,0.4082942903041839,14.9,False,4,2026-07-30T14:27:57,TDAG-Net (persona-split)
78,0.10660823567228,0.0958210711295788,0.0003,0.3070087134838104,15.0,True,0,2026-07-30T14:28:12,TDAG-Net (persona-split)
79,0.1061613697927076,0.096063858450769,0.0003,0.3877164423465729,14.9,False,1,2026-07-30T14:28:27,TDAG-Net (persona-split)
0,0.2042127491026134,0.1292462596608387,0.0003,0.2996145486831665,6.1,True,0,2026-07-30T14:28:37,TDAG-Net (ours)
1,0.1284506118887073,0.1081162287884361,0.0003,0.3083679378032684,5.7,True,0,2026-07-30T14:28:43,TDAG-Net (ours)
2,0.1182060481591539,0.1034395557592858,0.0003,0.2783851623535156,5.7,True,0,2026-07-30T14:28:49,TDAG-Net (ours)
3,0.1147557608865119,0.1016326789426934,0.0003,0.2614459097385406,5.7,True,0,2026-07-30T14:28:55,TDAG-Net (ours)
4,0.1122337973379826,0.0986436686509258,0.0003,0.2236065119504928,5.7,True,0,2026-07-30T14:29:01,TDAG-Net (ours)
5,0.109986570575735,0.0976000818331818,0.0003,0.1980443596839904,5.7,True,0,2026-07-30T14:29:06,TDAG-Net (ours)
6,0.1088950554584408,0.0964883236357798,0.0003,0.2724881470203399,5.7,True,0,2026-07-30T14:29:12,TDAG-Net (ours)
7,0.107700126675459,0.0943303021428349,0.0003,0.2292223274707794,5.7,True,0,2026-07-30T14:29:18,TDAG-Net (ours)
8,0.1059187418484425,0.0937645167194225,0.0003,0.1610646694898605,5.7,True,0,2026-07-30T14:29:24,TDAG-Net (ours)
9,0.1051107552844089,0.0930165735656743,0.0003,0.1974007785320282,5.7,True,0,2026-07-30T14:29:29,TDAG-Net (ours)
10,0.1044791114854288,0.0930091908181106,0.0003,0.2005483508110046,5.7,True,0,2026-07-30T14:29:35,TDAG-Net (ours)
11,0.1039390140182369,0.0917408282940204,0.0003,0.2346732020378112,5.7,True,0,2026-07-30T14:29:41,TDAG-Net (ours)
